objid,ra,dec,z
1237648704060260569,229.140775752788,-0.379919703695516,0.05021417
1237648704060260538,229.122171593793,-0.401294491391947,0.050802
1237648704060194961,229.096257633863,-0.301431328386204,0.05090167
1237648704060129571,228.855089036626,-0.324811708956135,0.09964198
1237648704060129536,228.838189889564,-0.266980444668788,0.07851809
1237648704060129355,228.851915325639,-0.34017349101393,0.09954324
1237648704059998605,228.625282896562,-0.238282811152277,0.08124371
1237648704059998391,228.640303760465,-0.391359516810736,0.05363998
1237648704059801983,228.170368801047,-0.208362395555737,0.09180361
1237648704059801913,228.102138281419,-0.28663333163769,0.09071708
1237648704059801900,228.096079882179,-0.349134049974709,0.05804609
1237648704059801865,228.076932589023,-0.256916385130672,0.09167787
1237648704059801705,228.124725201694,-0.357561644027583,0.09082391
1237648704059736563,228.066731603962,-0.229525568910518,0.0909497
1237648704059736299,228.057276769159,-0.205426261318086,0.09149242
1237648704059671039,227.905039104169,-0.223445684099495,0.09117911
1237648704059671008,227.876286439103,-0.294917406805351,0.09314752
1237648704059670993,227.866051157405,-0.308538064419078,0.09095044
1237648704059670895,227.811182049294,-0.229875136445281,0.09230644
1237648704059670794,227.904168750925,-0.272948394468775,0.05024774
1237648704059605350,227.732359240127,-0.323543469938046,0.07239581
1237648704059539868,227.602145711366,-0.374005463401773,0.09223236
1237648704059539706,227.502178853403,-0.389185659999119,0.09292635
1237648704059474311,227.398747634394,-0.394247126866828,0.07107079
1237648704059474283,227.389653180987,-0.338551542841179,0.07091379
1237648704059474268,227.376225771415,-0.288641905521717,0.08696529
1237648704059474239,227.36736736497,-0.267476378714393,0.08818143
1237648704059474188,227.3274894517,-0.239964221531554,0.09015324
1237648704059474127,227.466898602226,-0.384697953532504,0.07115772
1237648704059343210,227.081664752298,-0.346687195538729,0.0887335
1237648704059343192,227.07522831125,-0.216045243037521,0.08819695
1237648704059343157,227.062267022535,-0.262253375335058,0.08740187
1237648704059343146,227.063694142279,-0.220950153165802,0.09346975
1237648704059343124,227.033923186914,-0.327322118623833,0.09189976
1237648704059343048,227.161010815948,-0.253712374753737,0.08666698
1237648704059342960,227.117838106531,-0.264572815912967,0.08789767
